PROJECT NO.,PROJECT TITLE,SECTOR,CATEGORY,ESTIMATE AMOUNT,,
1,BUSINESS ONE-STOP SHOP (BOSS) DEVELOPMEN,Economic,Infrastructure Preparation,"PhP 5,000,000.00",,
2,LOCATOR ATTRACTION PROGRAM,Economic,Marketing and Investment Promotion,"PhP 1,200,000.00",,
3,PORT COMPETITIVENESS AND INCENTIVES PROGRAM,Economic,Marketing and Investment Promotion,"PhP 30,000.00",,
4,FORMULATION OF A STRATEGIC MARKETING AND PROMOTION PLAN,Economic,Marketing and Investment Promotion,"PhP 800,000.00",,
5,TRADE AND INVESTMENT MISSIONS AND BENCHMARKING PROGRAM,Economic,Marketing and Investment Promotion,"PhP 1,000,000.00",,
6,CONDUCT OF PRELIMINARY ENVIRONMENTAL DATA INVENTORY AND ANALYSIS,Environmental,Environmental Baseline and Planning,"PhP 1,500,000.00",,
7,CONDUCT OF ECOLOGICAL RESOURCES BASELINE STUDY,Environmental,Environmental Baseline and Planning,"PhP 7,000,000.00",,
8,CONDUCT OF FEASIBILITY STUDIES FOR THE ESTABLISHMENT OF SEWERAGE AND SEPTAGE SYSTEM,Environmental,Environmental Baseline and Planning,"PhP 12,000,000.00",,
9,CONDUCT OF A FEASIBILITY STUDY FOR A MINI WASTEWATER TREATMENT FACILITY FOR ADMINISTRATIVE BUILDINGS,Environmental,Environmental Baseline and Planning,"PhP 7,000,000.00",,
10,FORMULATION OF A DRAINAGE MASTER PLAN,Environmental,Environmental Baseline and Planning,"PhP 15,000,000.00",,
11,CONDUCT OF GEOTECHNICAL INVESTIGATION,Infrastructure,Environmental Baseline and Planning,"PhP 2,500,000.00",,
12,MAINTENANCE OF EXISTING ROAD INFRASTRUCTURE,Infrastructure,Infrastructure Preparation,"PhP 10,000,000.00",,
13,REPAIR OF EXISTING DRAINAGE SYSTEM,Infrastructure,Infrastructure Preparation,"PhP 10,000,000.00",,
14,CONDUCT OF STRUCTURAL AUDIT ON ALL EXISTING STRUCTURES,Infrastructure,Infrastructure Preparation,PhP 0.00.00,,
15,REGULAR PREVENTIVE MAINTENANCE ON ALL EXISTING STRUCTURES,Infrastructure,Infrastructure Preparation,"PhP 10,000,000.00",,
16,REHABILITATION AND REPAIR OF EXISTING ADMINISTRATIVE BUILDINGS,Infrastructure,Infrastructure Preparation,"PhP 20,000,000.00",,
17,CONSTRUCTION OF PERIMETER FENCE,Infrastructure,Infrastructure Preparation,"PhP 42,400,000.00",,
18,CAPACITY DEVELOPMENT PROGRAM FOR PFEZ PORT OPERATIONS AND SERVICES,Institutional,Capacity Building and Systems Development,"PhP 20,000,000.00",,
19,DIGITALIZATION OF PFEZ SYSTEMS AND PROCESSES, Institutional,Capacity Building and Systems Development,"PhP 23,705,000.00",,
20,CREATION OF AN INFORMATION TECHNOLOGY (IT) OFFICE FOR PFEZ,Institutional,Capacity Building and Systems Development,"PhP 15,000,000.00",,
